0.805
5, 3, 0.954
0, 0, 0.996
4, 4, 0.894
1, 1, 0.990
9, 9, 0.973
2, 2, 0.897
1, 1, 0.990
3, 3, 0.979
1, 1, 0.988
4, 4, 0.965
3, 3, 0.982
5, 8, 0.881
3, 3, 0.989
6, 6, 0.993
1, 1, 0.991
7, 7, 0.991
2, 2, 0.954
8, 8, 0.926
6, 6, 0.911
9, 7, 0.924
4, 4, 0.956
0, 0, 0.993
9, 9, 0.897
1, 1, 0.989
1, 2, 0.833
2, 2, 0.966
4, 9, 0.942
3, 3, 0.991
2, 7, 0.944
7, 9, 0.892
3, 3, 0.875
8, 8, 0.948
6, 6, 0.989
9, 7, 0.984
0, 0, 0.972
5, 3, 0.836
6, 6, 0.992
0, 0, 0.995
7, 7, 0.934
6, 6, 0.990
1, 1, 0.994
8, 8, 0.940
7, 7, 0.979
9, 7, 0.919
3, 3, 0.940
9, 9, 0.975
8, 8, 0.922
5, 5, 0.924
9, 3, 0.911
3, 3, 0.986
3, 3, 0.975
0, 0, 0.992
7, 7, 0.994
4, 1, 0.835
9, 9, 0.969
8, 8, 0.892
0, 0, 0.997
9, 9, 0.969
4, 4, 0.955
1, 1, 0.991
4, 4, 0.910
4, 4, 0.847
6, 6, 0.982
0, 0, 0.990
4, 6, 0.948
5, 8, 0.905
6, 6, 0.992
1, 1, 0.994
0, 0, 0.927
0, 0, 0.991
1, 2, 0.943
7, 7, 0.988
1, 1, 0.993
6, 6, 0.993
3, 3, 0.978
0, 0, 0.982
2, 2, 0.944
1, 1, 0.993
1, 1, 0.989
7, 7, 0.985
9, 0, 0.898
0, 0, 0.993
2, 2, 0.991
6, 6, 0.992
7, 7, 0.988
8, 3, 0.955
3, 3, 0.916
9, 9, 0.979
0, 0, 0.993
4, 4, 0.982
6, 6, 0.997
7, 7, 0.994
4, 4, 0.950
6, 6, 0.990
8, 8, 0.944
0, 0, 0.996
7, 7, 0.992
8, 8, 0.948
3, 3, 0.982
1, 1, 0.980
5, 5, 0.859
